test_id,pass,fail,missing,total,verdict
tests/test_pregel_async.py::test_imp_stream_order[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_stream_order[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_stream_order[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_stream_order[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_stream_order[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_stream_order[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_sync_from_async[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_sync_from_async[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_sync_from_async[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_sync_from_async[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_sync_from_async[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_sync_from_async[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task_cancel[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task_cancel[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task_cancel[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task_cancel[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task_cancel[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_task_cancel[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_defer_node[memory-False],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_defer_node[memory-True],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_defer_node[sqlite_aio-False],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_defer_node[sqlite_aio-True],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_custom_state_class[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_custom_state_class[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_custom_state_class_pydantic2[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_custom_state_class_pydantic2[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_multiple[memory-False],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_multiple[memory-True],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_multiple[sqlite-False],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_multiple[sqlite-True],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_multiple_cond_edge,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_plus_regular[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_plus_regular[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_via_branch[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_in_one_fan_out_state_graph_waiting_edge_via_branch[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_functional[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_functional[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_loop[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_loop[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_multiple[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_multiple[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_stream_mode_values[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_stream_mode_values[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_subgraph[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_subgraph[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_subgraph_reenter_checkpointer_true[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_subgraph_reenter_checkpointer_true[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_task_functional[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupt_task_functional[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupts_in_tasks_surfaced_once[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_interrupts_in_tasks_surfaced_once[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_checkpoint[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_checkpoint[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_checkpoint_three[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_checkpoint_three[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_many_processes_in_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_single_process_in_dict_out_dict,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_single_process_in_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_single_process_in_out_dict,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_single_process_in_write_kwargs,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_two_processes_in_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_two_processes_no_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_two_processes_one_in_two_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_two_processes_two_in_join_two_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_two_processes_two_in_two_out_invalid,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_invoke_two_processes_two_in_two_out_valid,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_max_concurrency[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_max_concurrency[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_max_concurrency_control[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_max_concurrency_control[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_multiple_interrupt_state_persistence[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_multiple_interrupt_state_persistence[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_multiple_interrupts_functional[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_multiple_interrupts_functional[sqlite_aio],50,0,0,50,NOT_FLAKY
